((1, 10), (1, 1), (11, 10))
((3, 7), (11, 4), (11, 2))
((1, 11), (8, 8), (7, 10))
((6, 4), (11, 2), (1, 11))
((6, 1), (4, 8), (10, 11))
((9, 5), (1, 5), (11, 3))
((4, 1), (8, 11), (7, 6))
((2, 5), (10, 8), (1, 3))
((2, 10), (8, 8), (6, 2))
((2, 5), (4, 9), (4, 4))
((6, 1), (9, 6), (11, 1))
((7, 2), (2, 8), (2, 5))
((1, 9), (4, 7), (4, 1))
((5, 1), (3, 7), (2, 10))
((9, 5), (4, 9), (11, 6))
((4, 7), (9, 6), (2, 5))
((1, 5), (9, 6), (4, 7))
((9, 6), (7, 6), (4, 6))
((6, 7), (1, 9), (6, 2))
((6, 10), (4, 11), (2, 8))
((2, 1), (5, 1), (11, 3))
((9, 6), (4, 11), (4, 11))
((10, 1), (10, 6), (6, 1))
((4, 10), (4, 4), (7, 6))
((3, 7), (4, 7), (2, 2))
((7, 6), (2, 3), (5, 1))
((10, 1), (8, 3), (11, 2))
((2, 3), (6, 6), (10, 8))
((11, 1), (7, 10), (1, 3))
((11, 6), (10, 6), (9, 6))
((11, 3), (5, 4), (6, 10))
((1, 1), (11, 4), (10, 8))
((8, 3), (4, 11), (6, 4))
((4, 1), (11, 9), (8, 8))
((9, 4), (11, 3), (2, 5))
((7, 6), (2, 2), (1, 1))
((4, 11), (4, 7), (1, 3))
((2, 1), (2, 11), (2, 8))
((6, 8), (2, 2), (3, 5))
((10, 1), (11, 9), (6, 1))
((11, 6), (8, 3), (1, 10))
((6, 7), (9, 1), (6, 8))
((1, 11), (4, 10), (6, 7))
((4, 1), (11, 2), (1, 10))
((2, 3), (8, 2), (8, 3))
((2, 11), (11, 4), (6, 6))
((6, 8), (3, 5), (9, 2))
((5, 1), (4, 11), (1, 9))
((4, 8), (1, 3), (11, 2))
((5, 11), (9, 5), (10, 1))
((10, 9), (4, 9), (11, 6))
((1, 4), (4, 1), (8, 11))
((8, 11), (6, 10), (8, 4))
((6, 10), (1, 1), (7, 10))
((9, 11), (9, 1), (11, 5))
((7, 2), (6, 2), (2, 5))
((1, 3), (8, 4), (8, 10))
((8, 11), (2, 8), (6, 2))
((1, 10), (4, 7), (9, 4))
((10, 1), (6, 4), (10, 8))
((4, 9), (4, 6), (2, 11))
((3, 5), (4, 5), (11, 11))
((4, 10), (11, 3), (8, 8))
((2, 3), (5, 4), (8, 10))
((11, 4), (9, 11), (11, 3))
((6, 7), (4, 4), (10, 9))
((11, 10), (9, 6), (1, 5))
((4, 7), (8, 4), (2, 11))
((7, 2), (11, 10), (1, 8))
((4, 4), (1, 1), (2, 5))
((8, 2), (9, 8), (2, 7))
((10, 11), (2, 2), (9, 6))
((1, 5), (5, 1), (1, 3))
((10, 1), (2, 7), (11, 2))
((8, 3), (9, 8), (4, 5))
((11, 5), (2, 11), (4, 1))
((5, 4), (9, 4), (6, 7))
((6, 10), (6, 11), (10, 11))
((4, 11), (4, 8), (6, 4))
((9, 1), (10, 1), (11, 11))
((6, 2), (4, 11), (2, 8))
((10, 1), (7, 8), (11, 2))
((6, 6), (9, 2), (1, 10))
((6, 4), (2, 10), (6, 4))
((7, 6), (11, 11), (4, 2))
((2, 8), (4, 11), (2, 7))
((4, 11), (6, 11), (4, 6))
((4, 6), (10, 1), (4, 9))
((11, 9), (11, 4), (9, 6))
((5, 1), (4, 4), (2, 2))
((4, 8), (6, 7), (8, 4))
((4, 1), (1, 3), (10, 11))
((6, 11), (1, 10), (2, 8))
((4, 9), (7, 6), (11, 5))
((4, 8), (8, 4), (11, 2))
((11, 4), (4, 4), (11, 9))
((1, 5), (7, 6), (5, 1))
((2, 10), (11, 1), (7, 6))
((3, 7), (2, 2), (11, 9))
((7, 6), (6, 2), (6, 7))
