((18, 1), (19, 5))
((19, 5), (5, 6))
((19, 11), (1, 3))
((7, 4), (4, 17))
((14, 8), (11, 7))
((17, 16), (1, 10))
((4, 2), (1, 6))
((10, 1), (3, 10))
((19, 18), (7, 5))
((14, 19), (7, 9))
((14, 9), (17, 8))
((10, 19), (3, 18))
((18, 19), (15, 4))
((18, 13), (7, 11))
((6, 1), (14, 9))
((10, 1), (1, 10))
((5, 12), (11, 19))
((3, 17), (3, 6))
((1, 14), (13, 4))
((2, 16), (2, 17))
((7, 9), (18, 4))
((3, 8), (5, 17))
((3, 10), (7, 18))
((15, 18), (18, 19))
((13, 17), (4, 2))
((5, 15), (12, 11))
((9, 12), (18, 17))
((9, 8), (6, 12))
((18, 17), (19, 7))
((11, 1), (1, 17))
((11, 1), (9, 10))
((14, 11), (5, 14))
((17, 19), (4, 4))
((1, 3), (14, 11))
((3, 11), (3, 2))
((9, 3), (6, 6))
((6, 10), (12, 7))
((14, 19), (14, 6))
((17, 13), (15, 4))
((5, 19), (1, 12))
((19, 18), (17, 2))
((6, 19), (14, 13))
((5, 2), (1, 12))
((15, 4), (6, 9))
((5, 18), (11, 4))
((17, 13), (19, 3))
((19, 13), (9, 14))
((1, 10), (12, 3))
((1, 11), (14, 18))
((18, 1), (14, 6))
((5, 17), (3, 16))
((19, 19), (6, 6))
((12, 6), (5, 7))
((6, 18), (14, 9))
((17, 1), (7, 6))
((9, 7), (3, 4))
((15, 16), (5, 1))
((14, 10), (6, 18))
((18, 9), (6, 7))
((15, 4), (13, 11))
((14, 15), (18, 9))
((5, 14), (3, 14))
((11, 6), (8, 14))
((15, 4), (19, 2))
((1, 14), (5, 9))
((18, 3), (12, 12))
((3, 19), (11, 11))
((5, 2), (14, 13))
((18, 4), (1, 14))
((12, 19), (6, 12))
((17, 5), (12, 17))
((4, 18), (11, 19))
((11, 17), (3, 1))
((7, 10), (18, 16))
((18, 19), (17, 5))
((17, 13), (12, 19))
((12, 12), (3, 16))
((12, 9), (9, 15))
((18, 17), (14, 17))
((7, 4), (13, 1))
((18, 9), (9, 4))
((19, 14), (4, 1))
((18, 11), (15, 4))
((17, 11), (6, 9))
((15, 5), (11, 9))
((3, 1), (5, 4))
((9, 3), (1, 10))
((5, 17), (17, 8))
((19, 2), (18, 13))
((19, 6), (6, 12))
((16, 9), (16, 13))
((11, 4), (11, 15))
((7, 12), (18, 5))
((4, 3), (9, 11))
((15, 19), (18, 3))
((11, 18), (15, 19))
((16, 11), (10, 19))
((16, 11), (5, 16))
((9, 11), (5, 1))
((11, 10), (1, 7))
