((1, 8), (7, 8))
((13, 12), (3, 13))
((9, 3), (10, 3))
((9, 7), (5, 5))
((12, 5), (2, 12))
((8, 1), (9, 3))
((11, 9), (7, 7))
((13, 1), (1, 5))
((11, 9), (4, 5))
((3, 7), (7, 10))
((10, 9), (3, 9))
((2, 12), (1, 13))
((2, 12), (5, 5))
((1, 7), (7, 6))
((13, 9), (9, 10))
((1, 3), (1, 11))
((3, 3), (7, 13))
((13, 7), (12, 5))
((2, 5), (7, 2))
((11, 3), (11, 7))
((2, 12), (10, 13))
((7, 8), (4, 7))
((2, 7), (11, 3))
((11, 13), (4, 5))
((12, 5), (9, 11))
((12, 7), (3, 12))
((5, 8), (13, 5))
((1, 12), (7, 8))
((1, 1), (11, 7))
((3, 3), (4, 1))
((7, 7), (11, 13))
((13, 13), (9, 1))
((4, 1), (3, 3))
((5, 13), (1, 4))
((5, 9), (3, 5))
((10, 11), (3, 9))
((1, 5), (3, 9))
((2, 12), (3, 1))
((3, 3), (13, 12))
((1, 11), (13, 7))
((11, 1), (7, 13))
((13, 1), (2, 7))
((9, 4), (13, 2))
((5, 3), (5, 8))
((2, 7), (13, 5))
((5, 7), (3, 9))
((13, 5), (1, 4))
((7, 1), (2, 12))
((4, 7), (7, 3))
((7, 10), (2, 3))
((8, 3), (7, 6))
((7, 13), (9, 3))
((3, 6), (9, 3))
((9, 7), (7, 8))
((1, 12), (9, 13))
((1, 12), (13, 8))
((1, 2), (9, 7))
((1, 10), (13, 2))
((11, 1), (9, 3))
((10, 1), (1, 2))
((1, 4), (8, 9))
((11, 9), (13, 7))
((2, 7), (9, 5))
((1, 12), (7, 13))
((2, 5), (13, 10))
((10, 1), (11, 1))
((5, 9), (11, 1))
((1, 9), (8, 9))
((9, 4), (11, 5))
((3, 6), (1, 13))
((12, 7), (11, 6))
((11, 6), (1, 7))
((5, 11), (5, 1))
((2, 7), (4, 5))
((10, 1), (10, 9))
((11, 4), (4, 7))
((6, 11), (4, 3))
((5, 13), (4, 7))
((3, 3), (11, 6))
((3, 6), (5, 5))
((9, 10), (1, 12))
((5, 3), (1, 1))
((3, 5), (1, 10))
((8, 13), (7, 9))
((7, 5), (3, 11))
((1, 8), (5, 1))
((1, 13), (5, 5))
((13, 12), (11, 13))
((13, 13), (2, 12))
((1, 1), (3, 3))
((9, 11), (11, 12))
((8, 1), (5, 11))
((1, 7), (1, 12))
((13, 5), (10, 11))
((11, 11), (2, 3))
((2, 7), (4, 7))
((4, 5), (7, 3))
((10, 1), (1, 11))
((6, 3), (13, 7))
((11, 3), (11, 6))
